{{-0.9999,0,-7.32498},{-0.9999,0,-7.32498},{0.9451,0,-9.25439}},
{{0.9451,0,-9.25439},{0.9451,0,-9.25439},{-0.9999,0,-7.32498}},
{{0.9901,0,-7.11414},{0.9951,0,-5.65045},{0.9951,0,-5.65045}},
{{0.9551,0,-9.20774},{0.9551,0,-9.20774},{0.9601,0,-9.14277}},
{{0.9801,0,-8.34913},{0.9851,0,-7.8745},{0.9851,0,-7.8745}},
{{0.9501,0,-9.24303},{0.9451,0,-9.25439},{0.9451,0,-9.25439}},
{{0.9801,0,-8.34913},{0.9801,0,-8.34913},{0.9851,0,-7.8745}},
{{0.9651,0,-9.04005},{0.9701,0,-8.8878},{0.9651,0,-9.04005}},
{{0.9801,0,-8.34913},{0.9751,0,-8.66771},{0.9801,0,-8.34913}},
{{0.9601,0,-9.14277},{0.9601,0,-9.14277},{0.9651,0,-9.04005}},
{{0.9751,0,-8.66771},{0.9801,0,-8.34913},{0.9751,0,-8.66771}},
{{0.9901,0,-7.11414},{0.9951,0,-5.65045},{0.9901,0,-7.11414}},
{{0.9551,0,-9.20774},{0.9501,0,-9.24303},{0.9551,0,-9.20774}},
{{0.9901,0,-7.11414},{0.9851,0,-7.8745},{0.9851,0,-7.8745}},
{{0.9701,0,-8.8878},{0.9701,0,-8.8878},{0.9751,0,-8.66771}},
{{0.9601,0,-9.14277},{0.9551,0,-9.20774},{0.9601,0,-9.14277}},
{{0.9751,0,-8.66771},{0.9751,0,-8.66771},{0.9701,0,-8.8878}},
{{0.9701,0,-8.8878},{0.9651,0,-9.04005},{0.9701,0,-8.8878}},
{{0.9901,0,-7.11414},{0.9901,0,-7.11414},{0.9851,0,-7.8745}},
{{0.9651,0,-9.04005},{0.9651,0,-9.04005},{0.9601,0,-9.14277}},
{{0.9501,0,-9.24303},{0.9501,0,-9.24303},{0.9451,0,-9.25439}},
{{0.9501,0,-9.24303},{0.9551,0,-9.20774},{0.9501,0,-9.24303}}
